YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,217,72
2024-02,WEEKDAY,0,TRAIN,EW14/NS26,894,185
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,CG2,107,220
2024-02,WEEKDAY,0,TRAIN,CG2,135,375
2024-02,WEEKDAY,16,TRAIN,NE5,13867,13506
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,NE5,5918,7172
2024-02,WEEKDAY,11,TRAIN,NE16/STC,41909,31133
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,23326,17125
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,TE6,5728,2027
2024-02,WEEKDAY,9,TRAIN,TE6,17971,4014
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,EW9,12302,10954
2024-02,WEEKDAY,13,TRAIN,EW9,23666,16560
2024-02,WEEKDAY,8,TRAIN,TE5,14625,5635
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,TE5,1759,904
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,CC6,6394,7441
2024-02,WEEKDAY,17,TRAIN,CC6,12223,24164
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,NE8,6664,8355
2024-02,WEEKDAY,8,TRAIN,NE8,32925,38529
2024-02,WEEKDAY,20,TRAIN,CC7,4449,9524
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2071,3750
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,NS3,4552,10234
2024-02,WEEKDAY,20,TRAIN,NS3,10239,29542
2024-02,WEEKDAY,10,TRAIN,SE3,3664,1123
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1859,710
2024-02,WEEKDAY,9,TRAIN,EW16/NE3/TE17,24441,66123
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,6677,7803
2024-02,WEEKDAY,18,TRAIN,NE16/STC,64868,134784
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,21840,25945
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,TE3,4994,2092
2024-02,WEEKDAY,12,TRAIN,TE3,9795,6519
2024-02,WEEKDAY,5,TRAIN,EW15,797,630
2024-02,WEEKENDS/HOLIDAY,5,TRAIN,EW15,153,31
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,NS7,18132,12129
2024-02,WEEKDAY,18,TRAIN,NS7,35082,46451
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,NS15,191,661
2024-02,WEEKDAY,0,TRAIN,NS15,514,1431
2024-02,WEEKDAY,15,TRAIN,NS15,28366,13156
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,NS15,5717,4804
2024-02,WEEKDAY,22,TRAIN,DT7,1537,3133
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,DT7,787,1359
2024-02,WEEKDAY,15,TRAIN,PW4,4186,5751
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2721,2926
2024-02,WEEKDAY,22,TRAIN,TE4,3323,3045
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1978,1409
2024-02,WEEKDAY,6,TRAIN,CC16,8136,4042
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1113,538
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2409,2017
2024-02,WEEKDAY,13,TRAIN,TE4,4198,3413
2024-02,WEEKDAY,11,TRAIN,BP12,2662,1078
